Judul,Berita,Topik
Lokasi BPJS Keliling di Bekasi Bulan Desember 2023,"KOMPAS.com - Layanan Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan kini bisa diakses langsung pada beberapa titik tertentu di Bekasi. Program ini bernama Mobile Custumer Service atau yang dikenal dengan BPJS Keliling.
Adapun BPJS keliling ini bisa melayani permasalahan seperti peralihan data peserta, perubahan data peserta, rencana pembayaran bertahap hingga pendaftaran peserta baru.
Melalui keterangan dari sosial media Pemerintah Kota Bekasi, ada beberapa titik di wilayah Bekasi yang menjadi lokasi BPJS keliling. Berikut ini lokasi dan jadwalnya untuk bulan Desember 2023.














",NEWS
4 Fakta Sejarah tentang Baitul Hikmah,"Baitul Hikmah terkadang disebut Rumah Kebijaksanaan, atau Perpustakaan Besar Baghdad karena berdiri di Baghdad, Irak.
Baitul Hikmah merupakan salah satu perpustakaan terbesar di dunia pada masa keemasan Islam sekaligus simbol kemajuan ilmu pengetahuan di era keemasan Islam.
Berikut ini fakta sejarah tentang Bayt Al-Hikmah.
Baitul Hikmah didirikan pada masa pemerintahan Khalifah Harun Ar-Rasyid, yang memegang tampuk kekuasaan Bani Abbasiyah antara tahun 786 hingga 809.
Sejarah berdirinya Baitul Hikmah tidak lepas dari kegiatan pengumpulan teks-teks kuno untuk diterjemahkan oleh Bani Umayyah.
Bani Umayyah sudah mendirikan perpustakaan di Damaskus, Suriah, yang menjadi pusat ilmu pengetahuan dan pusat penerjemahan era Dinasti Umayyah.
Setelah Bani Umayyah runtuh dan Khalifah Al-Mansur mendirikan Kekhalifahan Bani Abbasiyah di Baghdad, khalifah melakukan kegiatan penerjemahan teks-teks kuno dengan mengundang cendekiawan dan ilmuwan dari berbagai wilayah di dunia.
Gerakan penerjemahan semakin digalakkan pada masa pemerintahan Khalifah Harun Ar-Rasyid (786-809), yang kemudian membangun Baitul Hikmah sebagai pusatnya.
Meski kerap disebut sebagai perpustakaan, peran atau fungsi Baitul Hikmah sangat banyak.














",STORI
"Pencuri di Rental PS Miliknya Ditangkap, Arafah Rianti: Kasihan Dia Buat Beli Susu Anak, tapi Saya Benci sama Perbuatannya","KOMPAS.com – Pencuri di rental PS atau PlayStation milik komika Arafah Rianti sudah ditemukan.
Diketahui, sebelumnya pria berusia 30an tahun ini mencuri sebuah ponsel yang ada di dalam rental PS milik Arafah Rianti di daerah Depok, Jawa Barat.
Dalam sebuah video Insta Story, Arafah Rianti mengunggah video pelaku tengah menyampaikan permintaan maaf atas perbuatannya.
“Saya berjanji tak akan mengulangi kesalahan saya, saya meminta maaf kepada Arafah Rianti dan pihak lain yang merasa dirugikan,” ucap pria tersebut, dikutip Senin (4/12/2023).
Usai pelaku pencurian di rental PS miliknya tertangkap, Arafah Rianti justru merasa dilema.
Di satu sisi, Arafah Rianti merasa kasihan lantaran pelaku terpaksa mencuri karena untuk membayar biaya sewa rumah kontrakan serta membeli susu untuk anaknya.
Di satu sisi, Arafah Rianti tak bisa membenarkan perbuatan pelaku yang bagaimana pun adalah salah.
Menurut Arafah, pelaku berprofesi sebagai sopir angkot dengan penghasilan tak menentu dan sedang terdesak kebutuhan ekonomi.
“HP-nya digadai. Dia sopir angkot di Depok. Dia bilang itu buat bayar kontrakan dan susu anaknya. Katanya dia terpaksa ngelakuin itu. Dia makan di warung, satu piring bertiga,” tulis Arafah Rianti dengan emoji bingung.
Namun demikian, Arafah Rianti masih mengapresiasi pelaku karena masih punya itikad baik untuk mempertanggungjawabkan perbuatannya.














",HYPE
"""Dirujak"" Warganet Soal Pengadaan Sepeda Motor untuk Lurah, Wali Kota Semarang Minta Maaf","SEMARANG, KOMPAS.com - Pengadaan sebanyak 177 unit sepeda motor dinas Honda Vario 160 bagi lurah oleh Pemerintah Kota Semarang, Jawa Tengah (Jateng) dirujak warganet.
Dalam postingan akun Instagram @memomedsos_official, pengadaan sepeda motor yang menghabiskan anggaran Rp 8 miliar itu mendapatkan komentar negatif dari warganet.
Akun @ir.cham2000 juga ikut berkomentar di postingan @memomedsos_official.
 
Dalam komentarnya, dia menyebut jika ada keuntungan Rp 2,8 miliar dalam pengadaan sepeda motor itu.
""Harga Vario 160 tahun 2023 Rp 29,51 juta (varian tertinggi). Rp 29.51 juta × 177 motor: Rp 5,2 miliar. Rp 8 M - Rp 5,2 miliar: Rp 2,8 miliar (keuntungannya),"" kata akun tersebut.
Hal yang sama juga dikatakan akun @helmy_firdaus yang menyebut anggaran untuk pengadaan sepeda motor itu masih lebih Rp 2 miliar.
""Mayan masih untung Rp 2 miliar lebih,"" ucapnya dalam kolom komentar.
Menanggapi hal itu, Wali Kota Semarang, Hevearita Gunaryanti Rahayu mengklarifikasi informasi yang beredar tentang pengadaan sebanyak 177 unit sepeda motor dinas bagi lurah yang menimbulkan polemik di masyarakat.
Perempuan yang akrab disapa Mbak Ita tersebut meminta maaf atas kesalahannya tidak menjelaskan rincian anggaran sebesar Rp 8 miliar itu.
Dia menjelaskan, anggaran Rp 8 miliar tersebut juga digunakan untuk pengadaan barang rumah tangga lainnya.
""Mohon maaf saya menyampaikan Rp 8 miliar itu secara keseluruhan. Saya meluruskan Rp 8 miliar ini tidak hanya untuk pengadaan sepeda motor saja, tetapi juga kebutuhan Bagian Rumah Tangga Setda lainnya untuk pelayanan masyarakat,"" kata Mbak Ita dalam keterangan resminya, Senin (4/12/2023).
Dia menambahkan, klarifikasi ini juga terkait anggaran pengadaan yang ditetapkan adalah senilai Rp 7,931 miliar. Dia mengaku saat membaca besaran angka tersebut dilakukan secara global.
""Melihat dari berita-berita yang mungkin viral, saya mungkin membacanya keseluruhan Rp 7,931 miliar. (Anggaran tiap sepeda motor mengacu) harga dealer itu Rp 26.566.732 sehingga total anggaran Rp 4.702.311.564,"" ujarnya.
Selain sepeda motor bagi 177 lurah se-Kota Semarang, Bagian Rumah Tangga Pemerintah Kota (Pemkot) Semarang juga melakukan pengadaan barang untuk kepentingan masyarakat.
Seperti di antaranya pakaian dinas, TV LED, dan alat pemadam api ringan (APAR).Pengadaan TV LED dilakukan karena kondisi televisi layar datar yang digunakan untuk pemandu informasi masyarakat di Balai Kota Semarang telah buram dimakan usia.














",REGIONAL
"Soal Rencana Pengalihan Anggaran Bansos, TKN Prabowo-Gibran: Itu Tidak Benar","KOMPAS.com - Ketua Tim Komunikasi Tim Kampanye Nasional (TKN) Prabowo Subianto-Gibran Rakabuming Raka (Prabowo-Gibran), Budisatrio Djiwandono menyangkal isu mengenai rencana pengalihan anggaran bantuan sosial (bansos), pendidikan, dan kesehatan ke program Makan Siang dan Susu Gratis serta Gizi untuk Ibu Hamil dalam kampanye pasangan nomor urut 2 tersebut.
“Saat ini sedang dikembangkan isu seolah-seolah Prabowo-Gibran akan mengalihkan anggaran dari bansos, dana pendidikan, dan dana kesehatan ke program Makan Siang Gratis. Saya tegaskan, itu tidak benar,” ujarnya dalam siaran pers yang diterima Kompas.com, Senin (4/12/2023).
Budisatrio juga menjelaskan bahwa semua kebijakan pemerintahan sebelumnya yang bermanfaat bagi masyarakat akan tetap dilanjutkan oleh pasangan Prabowo-Gibran.
Ia mengungkapkan bahwa Prabowo-Gibran merupakan pasangan calon (paslon) yang mendukung keberlanjutan pembangunan.
“Semua kebijakan pemerintah yang telah diterapkan dan memberikan manfaat langsung kepada kebutuhan masyarakat, seperti Kartu Indonesia Pintar (KIP), Kartu Indonesia Sehat (KIS), bansos, Program Keluarga Harapan (PKH), akan tetap kami lanjutkan. Bahkan, ke depannya akan ditambah dengan program Makan Siang Gratis,” jelas Budisatrio.
Untuk sumber anggaran dari program andalan pasangan nomor urut 2 itu, Budisatrio mengungkapkan bahwa akan dilakukan penambahan dana secara bertahap, sehingga semua agenda dapat berjalan tanpa adanya pengalihan anggaran.
Apabila Prabowo terpilih sebagai presiden pada Pemilihan Presiden (Pilpres) 2024, kata dia, kenaikan anggaran pada 2025 tidak secara otomatis terjadi.
“Semua akan dilakukan secara bertahap. Kami memiliki skala prioritas. Menurut perhitungan kami, target mencapai 82,9 juta penerima manfaat dari program ini baru dapat terwujud pada 2029. Tapi saya tekankan, tak ada pengalihan dari Badan Penyelenggara Jaminan Sosial (BPJS), KIP, KIS. Itu tidak benar,” tutur Budisatrio.
Oleh karena itu, lanjut dia, pihaknya masih memiliki waktu untuk menyusun anggaran, baik melalui efisiensi, peningkatan penerimaan anggaran, maupun sumber dana lainnya.
Budisatrio menyatakan bahwa program Makan Siang Gratis dan Susu Gratis, serta Gizi untuk Ibu Hamil merupakan salah satu program utama dari Prabowo-Gibran yang diharapkan dapat memberikan dampak besar bagi masyarakat.
Ia mencontohkan, program Makan Siang dan Susu Gratis yang dapat mengatasi kekhawatiran para ibu mengenai asupan makan siang bergizi bagi anak-anak di sekolah.
“Anak-anak juga dapat belajar dengan lebih baik karena kebutuhan perut mereka terpenuhi,” ucap Budisatrio.
Selain itu, lanjutnya, ekonomi masyarakat akan langsung meningkat karena rantai pasok program tersebut melibatkan para pelaku usaha mikro kecil dan menengah (UMKM) lokal.
Sementara itu, program Gizi untuk Ibu Hamil dan Anak di bawah usia 1.000 hari pertama kehidupan (HPK) juga akan membantu mengurangi beban dan kekhawatiran para ibu terkait asupan gizi yang cukup bagi anak-anak mereka.
“(Program) ini baru memberikan manfaat langsung, sementara manfaat jangka panjangnya akan lebih banyak lagi,” ucapnya.














",NEWS
Pembunuh Ayah Kandung di Mojokerto Dibawa ke Rumah Sakit Jiwa,"Sebelumnya, perempuan itu ditangkap karena menganiaya dan menyebabkan ayah kandungnya meninggal.
Peristiwa itu terjadi di tempat tinggal korban, di Kelurahan Wates, Kecamatan Magersari, Kota Mojokerto, Kamis (30/11/2023).
Kasat Reskrim Polres Mojokerto AKP Bambang Tri Sutrisno mengungkapkan, SNA dibawa ke RSJ Lawang karena sebelumnya memiliki riwayat gangguan jiwa.
Pelaku, sebut dia, sebelumnya pernah menjalani perawatan di RSJ Dr Radjiman Wediodiningrat Lawang, Kabupaten Malang pada 2022. 
“Hari itu juga dibawa ke RSJ dan sekarang masih perawatan di sana,” kata Bambang, saat dikonfirmasi Kompas.com, Senin (4/12/2023).
Dijelaskan Bambang, pihaknya telah melakukan pemeriksaan kondisi kejiwaan SNA. Hasil pemeriksaan sementara, lanjutnya, SNA dinyatakan masih mengalami gangguan kejiwaan.
“Ada riwayatnya (gangguan kejiwaan). Kami kemarin kan menguatkan saja, siapa tahu yang bersangkutan ini kemarin sembuh atau gimana, ternyata masih (mengalami gangguan jiwa) dan masih dalam pemantauan,” ujar dia.
Ditambahkan, penyidik hingga saat ini belum menentukan status SNA yang telah membunuh ayah kandungnya. Pihaknya juga masih menunggu hasil pemeriksaan dokter kejiwaan yang menangani SNA.
Sebelumnya diberitakan, Sutrisno (70) tewas dibunuh anak kandungnya sendiri, SNA (35) yang diduga mengalami gangguan kejiwaan.
Warga Kelurahan Wates, Kecamatan Magersari, Kota Mojokerto, tewas usai dianiaya oleh putri kandungnya yang memukul menggunakan kursi plastik.
Pelaku memukul kepala ayahnya hingga jatuh tersungkur, kemudian kepalanya membentur meja dan meninggal dunia.














",REGIONAL
"IKJ Gelar ""AnimaKini 2023"", Perkuat Ekosistem Animasi Indonesia di Era AI","KOMPAS.com - Program tahunan Fakultas Seni Rupa dan Desain (FSRD) Institut Kesenian Jakarta (IKJ) AnimaKini memasuki tahun ketujuh dan kembali digelar pada 4-5 Desember 2023 di Taman Ismail Marzuki, Jakarta.
Acara yang didukung Deskov FSRD IKJ dan Ainaki (Asosiasi Industri Animasi Indonesia) sejak dicetuskan kali pertama tahun 2016 ini didekasikan untuk mendukung generasi muda yang memiliki ketertarikan di bidang animasi.
AnimaKini 2023 mengusung tema “Rebooting Creativity"" mengandung makna bagaimana kreativitas seniman beradaptasi terhadap tantangan AI Image Generation dan tools kecerdasan buatan lain.
Seniman didorong untuk menata ulang cara berinovasi dan proses kreatif dengan melampaui batas-batas tradisional dalam ranah seni dan desain animasi di era digital.
""Ekosistem dari bidang animasi dan industri kita undang untuk hadir. Sebisa mungkin kita menghubungkan dan mempertemukan di AnimaKini,"" ungkap Rektor IKJ Indah Tjahjawula yang berharap IKJ menjadi pusat keunggulan perguruan tinggi di bidang animasi.
Indah menjelaskan, kegiatan AnimaKini 2023 diawali dari ""Animakini Goes To School"" yang berlangsung dari 19 Oktober hingga 22 November 2023 dengan memperkenalkan dunia animasi kepada sekolah-sekolah di Jabodetabek.
Rangkaian puncak AnimaKini, jelas Rektor IKJ, terdiri dari sharing animasi dengan narasumber dari pengajar FSRD IKJ dan profesional, Industri Animasi dan Film serta Game, talkshow menarik dengan Virtual Youtuber dan Cosplayer.
Selain itu digelar pula acara menonton animasi hasil dari 69 pelajar dan mahasiswa peserta lomba.
Ketua AnimaKini sekaligus dosen DKV IKJ Norman Adi menjelaskan, tahun ini sekitar 70-an mahasiswa dan studio animasi Tanah Air terlibat langsung dalam kegiatan ini. ""KIta ingin turut membangun ekosistem animasi Indonesia,"" tegas Norman Adi.
Dekan Dekan FSRD IKJ, Anindyo Widito berharap, AnimaKini dapat menjadi ajang kolaborasi dan membuat jejaring kerja antar wilayah antara sekolah, akademik, industri, pemerintah, dan komunitas.
""Animasi memegang peran besar dalam berbagai bidang industri kreatif mulai dari politik, sosial, budaya, iklan, musik, dan lainnya. Gen Z dan Alpha sudah terbiasa dengan digital. Begitu pentingnya animasi ini sehingga kita berkolaborasi dengan siswa dan masyarakat,"" jelas Anindyo.














",EDUKASI
Teriakan Histeris Emak-emak di Labuan Bajo Saat Menyambut Kedatangan Jokowi,"LABUAN BAJO, KOMPAS.com – Presiden RI Joko Widodo tiba di Labuan Bajo, Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pada Senin, (4/12/2023).
Sebelum orang nomor satu RI itu tiba, ratusan warga Kabupaten Manggarai Barat sudah menunggu kedatanagn Presiden Jokowi di Gudang Bulog Labuan Bajo. Mereka tidak menghiraukan meski hujan deras mengguyur Labuan Bajo demi bertemu Jokowi.
Sekitar pukul 16.00 Wita, Presiden Jokowi tiba di Kantor Bulog Labuan Bajo. Jokowi pun keluar dari pintu mobilnya dan dipayungi oleh pasmpampres karena lagi gujan deras. Saat itu, emak-emak langsung teriak histeris.
“Pak Jokowi, Pak Jokowi, Pak Jokowi,” teriak emak-emak.
Tiba di hadapan ratusan warga, Presiden Jokowi langsung menyapa emak-emak yang sudah menunggunya.
“Selamat sore ibu-ibu, sudah tunggu dari jam berapa?” tanya Jokowi disambut riuh emak-emak.
Ia kemudian menanyakan kepada mereka apakah sudah menerima beras bantuan untuk April, Mei, dan Juni. Kemudian, Oktober, November, dan Desember.
Ia mengatakan, bantuan itu akan lanjut pada 2024 mendatang.
“Nanti ada lagi Januari, Februari dan Maret,” ujar Jokowi disambut tepuk tangan warga.
Setelah itu, Presiden Jokowi langsung menanyakan siapa yang bisa melafalkan Pancasila dengan benar. Semua emak-emak pun berlomba angkat tangan dan berebut untuk maju.
Namun, Presiden Jokowi langsung menunjuk dan memanggil seorang wanita yang berada di bagian kanannya.
Emak-emak yang diketahui bernama Katarina itu pun dituntun paspampres maju dan menyalami Jokowi. Ia langsung diminta melafalkan Pancasila.
Dengan lancar dan suara lantang, Katarina menyanggupi tantangan dari Presiden Jokowi.
“Dapat sepeda,” celetuk Jokowi.
Katarina pun berteriak histeris karena mendapat hadiah sepeda dari Presiden Jokowi.














",REGIONAL
Jokowi Bagi-bagi Bantuan Pangan di NTT," Kunjungannya ke sana untuk mengecek persediaan beras dan membagikan bantuan pangan cadangan beras pemerintah (CBP) kepada sejumlah keluarga penerima manfaat (KPM).
 Presiden Jokowi menyebut bahwa bantuan pangan tersebut telah disalurkan oleh pemerintah sejak bulan April 2023 dan akan terus disalurkan kepada keluarga penerima manfaat hingga bulan Maret 2024.
 “Jadi nanti bulan Januari, Februari, Maret (2024) diberikan lagi ya,” ujar Jokowi dilansir siaran pers Sekretariat Presiden, Senin.
 Di samping itu, Kepala Negara juga menyebut, ada bantuan lain dari pemerintah, yakni bantuan El Nino yang juga akan turut disalurkan kepada masyarakat untuk periode November dan Desember 2023.
 “Ini akan ditransfer November, Desember, Rp 400.000 kira-kira di minggu ini atau minggu depan yang belum,” kata dia.
 Dalam kesempatan tersebut, Presiden pun mengimbau kepada masyarakat yang belum terdaftar dalam Program Keluarga Harapan (PKH) dan Bantuan Pangan Non-tunai (BPNT) untuk bisa mendaftarkan diri ke RT/RW atau kelurahan/desa setempat agar dapat memperoleh bantuan terkait dari pemerintah.
 “Ibu-ibu ini ikut PKH? BPNT ikut? Yang belum dapat daftar ke kelurahan, ke RT, atau, kelurahan,” ujar Jokowi.
 Setelahnya, Kepala Negara masuk gudang untuk meninjau jumlah ketersediaan beras yang ada di Gudang Bulog Batu Cermin.
 Sebelumnya, Presiden Jokowi beserta rombongan bertolak menuju Provinsi NTT dari Pangkalan TNI AU Halim Perdanakusuma, Jakarta, sekitar pukul 13.25 WIB pada Senin.
 Turut mendampingi Presiden dalam penerbangan menuju Provinsi NTT adalah Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono, Sekretaris Militer Presiden Laksda TNI Hersan, dan Komandan Paspampres Mayjen TNI Rafael Granada Baay.
 














",NEWS
AHY: Lebih Sulit Jadi Wakil Rakyat yang Adil Dibandingkan yang Cerdas,"DEPOK, KOMPAS.com - Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menilai, lebih sulit menjadi wakil rakyat yang adil dibandingkan wakil rakyat yang cerdas.
Sebab, kecerdasan dan kekuatan bisa dilatih. Namun, tidak dengan rasa keadilan.
""Menjadi wakil rakyat yang adil, berarti paling susah itu. Kalau pintar IQ tinggi bisa belajar tiap hari. Menjadi orang kuat bisa lari tiap hari, angkat beban, tambah vitamin kuat dia, tapi untuk menjadi adil itu sulit sekali,"" ujar AHY saat menyambangi Pondok Pesantren Al Quran Bani Syahid di Cimanggis, Kota Depok, Jawa Barat, Senin (4/12/2023).
Artinya, meski sulit diwujudkan, pemimpin yang adil akan memerhatikan segala aspek kehidupan warganya.
""Itu lah kehidupan kita, mari kita isi dengan perasaan-perasaan positif, tapi negara harus adil untuk para pencari kesejahteraan,"" ucap AHY.
Termasuk keadilan di mata hukum. Agar, kata dia, tidak ada lagi hukum yang runcing ke bawah dan tumpul ke atas.
""Juga adil di muka hukum. Hukum itu harus adil buat semua, jangan sampai tajam ke bawah tumpul ke atas. Tajam ke lawan, tumpul ke kawan. Kalau negara adil, walaupun belum semuanya sejahtera, maka insyaAllah negara Indonesia ini damai. Tapi tanpa keadilan tidak akan ada kedamaian,"" kata AHY.














",NEWS
